Name,Street,City,Region,Zip
Optical Heights,195 Mineola Avenue,Roslyn Heights,,11577
Trapp Opticians - Scarsdale,10 Harwood Court,Scarsdale,,10583
Eye Gallery of Scarsdale,8 Spencer Place,SCARSDALE,,10583
Michael Allen Opticians,7948 Jericho Turnpike,Woodbury,,11797
I Fetish Pleasantville,1 Wheeler Ave,Pleasantville,,10570
Trapp Optical - Greenwich,87 Greenwich Avenue,Greenwich,,6830
20/20 Optical  CT,15 Arcadia Road,Old Greenwich,,6870
Eye Candy Optical of WV,808 North Eisenhower Dr,Beckley,West Virginia,25801
Professional Optometry,77 Veterans Memorial Hwy,Commack,New York,11725
Specs of Darien,1 Tokeneke Rd,Darien,,6820
MORGENTHAL FREDERICS,127 Main Street,New Canaan,,6840
Miller Vision Specialties,2616 A Lawndale Drive,GREENSBORO,,27408
Specs of Westport,115 Post Road East,Westport,,6880
Dr. George G. Amatuzzi,419 Main Street,Ridgefield,,6877
Dr. Walter Ramsey,1301 Lee Street East,Charleston,,25301
Specs of Fairfield,2385 Black Rock Turnpike,FAIRFIELD,,6825
Fritz & Hawley,2313 Whitney Avenue,Hamden,Connecticut,6518
Sally's Optical Secret,1419 East Blvd.  Suite C,Charlotte,,28203
Miller Vision Specialties,2616 A Lawndale Drive,GREENSBORO,,27408
Jackson Davenport Vision - Charleston,379 King Street,Charleston,,29401
Eye Candy Optical of WV,808 North Eisenhower Dr,Beckley,West Virginia,25801
Uptown Eye Boutique,9700 Medlock Bridge <br> Suite 120-B,John's Creek,Illinois,30097
Reimbold Eye Group,4180 Old Milton Pkwy,Alpharetta,Georgia,30005
Eyeland Optique,890 William Hilton Parkway<br> Suite 93,Hilton Head Island,South Carolina,29928
Reflections Eyecare,305 Brookhaven Avenue<br> Suite A-1110,Atlanta,,30319
Dr. Walter Ramsey,1301 Lee Street East,Charleston,,25301
The Eye Gallery Sandy Spring,5975 Rosewell Road,Sandy Springs,Georgia,30328
Salle Opticians - Phipps Plaza,3500 Peachtree Road,Atlanta,,30326
The Eye Gallery Buckhead,3330 Piedmont Road,Atlanta,Georgia,30305
Ansley Eyecare,22 E Andrews Dr. NW · Suite B,Buckhead,Georgia,30326
Ansley Eye Care,1544 Piedmont Ave,ATLANTA,,30324
Optique at West Paces,1244 W. West Paces Ferry Road,Atlanta,,30327
Couture Eyewear Gallery,200 Towne Center West Blvd<br> #610,Richmond,Virginia,23233
Epic Optical,801 Chestnut Street,Chatanooga,,37402
Image Optical,2531 West End Ave.,Nashville,,37203
Epic Optical,801 Chestnut Street,Chatanooga,,37402
JJ Eyes,2814 18th Street S,Homewood,Alabama,35209
Schaeffer - Mountain Brook,2737 Hwy 280,MOUNTAIN BROOK,,35223
Schaeffer - Colonnade,3431 Colonnade Parkway,BIRMINGHAM,,35216
Eyewear Gallery - Memphis,428 South Perkins EXTD,Memphis,,38117
Inverness Eye Care,252 Inverness Center Drive,Birmingham,Alabama,35242
Altadena Eyecare,2409 Acton Road,Birmingham,Alabama,35243
Schaeffer - Hoover,1686 Montgomery Hwy,Birmingham,,35216
Reimbold Eye Group,4180 Old Milton Pkwy,Alpharetta,Georgia,30005
The Eye Gallery Sandy Spring,5975 Rosewell Road,Sandy Springs,Georgia,30328
Optiks - Bloomington,101 W. Kirkwood Ave.,BLOOMINGTON,,47404
Optique at West Paces,1244 W. West Paces Ferry Road,Atlanta,,30327
Uptown Eye Boutique,9700 Medlock Bridge <br> Suite 120-B,John's Creek,Illinois,30097
Ansley Eyecare,22 E Andrews Dr. NW · Suite B,Buckhead,Georgia,30326
The Eye Gallery Buckhead,3330 Piedmont Road,Atlanta,Georgia,30305
Salle Opticians - Phipps Plaza,3500 Peachtree Road,Atlanta,,30326
Reflections Eyecare,305 Brookhaven Avenue<br> Suite A-1110,Atlanta,,30319
Ansley Eye Care,1544 Piedmont Ave,ATLANTA,,30324
Eye 1 Cincinnati,2648 Erie Avenue,Cincinnati,,45208
The Eye Bar  - St. Louis,401 N Euclid Ave,Saint Louis,,63108
Ossip Optometry - Broad Ripple,804 Broad Ripple Avenue,INDIANAPOLIS,,46220
The Eye Bar - Clayton,169 Carondelet,Clayton,,63105
Ossip Optometry - Zionsville,1501 Oak Street,Zionsville,,46077
Ossip Mishawaka,"9795 Crosspoint Blvd,#100",INDIANAPOLIS,,46256
Eye 1 Unique Eyewear,2319 Far Hille Avenue,Dayton,Ohio,45419
Optik of Birmingham,245 West Maple,Birmingham,,48009
AUCOURANT,"The Somerset Collection, 2801 W. Big Beaver",Troy,,48084
Birmingham Vision Center,4114 W. Maple Road,Bloomfield Township,,48301
The Optical Shop - Ohio,3205 West Central,OTTAWA HILLS,,43606
Eyetique - Cleveland,28699 Chagrin Blvd-Suite 400,WOODMERE,,44122
Park Opticians - Pepper Pike,30749 Pinetree Road,PEPPER PIKE,,44124
Eyecare Associates of Bluffton,980 N Main Street,Bluffton,Indiana,46714
Eye Design,220 C Market Street,New Albany,Ohio,43054
Arlington Optical,1756 West Lane Avenue,COLUMBUS,,43221
DWB Inc - Dba EyeDesigns Grandview,1421 Grandview Avenue,Columbus,,43212
Arlington Optical,262 Neil Avenue,Columbus,Ohio,43215
Advanced Vision Eyewear Boutique,1119 Fennell Avenue,Hamilton,Ontario,L8T 1S2
Squint,286 Lakeshore Drive East,Oakville,Ontario,L6J1J2
Eye 1 Unique Eyewear,2319 Far Hille Avenue,Dayton,Ohio,45419
