FLATBUSH OPTICAL,2011 CHURCH AVE,BROOKLYN,NY,11226-3801
EYES ON SECOND,170 2ND AVE,NEW YORK,NY,10003-5793
EYE AND HEALTH,159 1ST AVE,NEW YORK,NY,10003-3067
NATIONAL VISION CENTER,820 FLATBUSH AVE,BROOKLYN,NY,11226-3102
"ABSOLUTE EYECARE CENTER, LLC",922A FLATBUSH AVE,BROOKLYN,NY,11226-4018
OPTYX - 2ND AVE,228 2ND AVE,NEW YORK,NY,10003-2703
EYE PARLOR               80676,5903 1/2 AVENUE N,BROOKLYN,NY,11234-4129
MANHATTAN EYEWORKS,241 W 23RD ST,NEW YORK,NY,10011-2320
MAXIMEYES OPTICAL,200 W 24TH ST,NEW YORK,NY,10011-1736
SOLSTICE,168 5TH AVENUE,NEW YORK,NY,10010
LA OPTICAL INC,275 7TH AVE,NEW YORK,NY,10001-6708
BARNEY'S,660 MADISON AVENUE,NEW YORK,NY,10065
STAR SPECS OF NYC,106 E 23RD ST,NEW YORK,NY,10010-4516
THE VIEW OPTIQUE,803 NOSTRAND AVE,BROOKLYN,NY,11225-1584
Neiman Marcus Hudson Yards,20 Hudson Yards,New York,NY,10001
MEGA VISION CENTER,187 AVENUE U,BROOKLYN,NY,11223
BRIGHT EYES OPTICAL,508 KINGS HWY,BROOKLYN,NY,11223-1964
JENA OPTICAL LTD          0188,50 LEXINGTON AVE,NEW YORK,NY,10010-2935
GRAMERCY PARK OPTICAL,344 3RD AVE,NEW YORK,NY,10010-2331
SOLANO OPTICAL,1321 FULTON ST,BROOKLYN,NY,11216-2292
PERSPECTIVE FAMILY EYECARE,629 EASTERN PKWY,BROOKLYN,NY,11213-3354
EUROPEAN OPTICAL CORP*,310 5TH AVE,NEW YORK,NY,10001-3605
EMERGING VISION INC,520 8TH AVE,NEW YORK,NY,10018-6595
FRENCH OPTICAL FASHION,7 E 33RD ST,NEW YORK,NY,10016-5002
KINGS HIGHWAY VISION CENTER,1302 KINGS HWY,BROOKLYN,NY,11229-1970
GRAND VISION OPTOMETRY,1316 KINGS HWY,BROOKLYN,NY,11229-1904
STAHL OPTICIANS,185 MADISON AVE,NEW YORK,NY,10016-4325
LUXEYE OPTICAL,171 BEDFORD AVE,BROOKLYN,NY,11211-2934
IN STYLE NYC,28 W 36TH ST,NEW YORK,NY,10018-8006
EUROVISION #807,107C W 37TH ST,NEW YORK,NY,10018-3606
EYES ON MADISON       4690,197 MADISON AVE,NEW YORK,NY,10016-4305
