name,address,city,zip
ActualEyes,305 Reisterstown Rd,"Pikesville, MD",21208
European Eyewear,741 Harrisburg Pike,Lancaster,17603
Modern Eye West, 3419 Walnut Street,Philadelphia,19104
Modern Eye East,145 South 13th Street,Philadelphia,19107
The Eyeglass Works,4407 Main Street,Philadelphia,19127
American Vision,"W. Dekalb Pike, Ste 2035 690","King of Prussia, PA",19406
Optical Eyeland,945 River Avenue,"Lakewood, NJ",08701
Image Eyes Optical,2008 South 1100 East,Salt Lake City,84106
Image Eyes Optical Downtown, 222 South Main Street,Salt Lake City,84101
Heidi Optics,223 4th Avenue ,Pittsburgh,15222
SPECTACLES F.Y. EYE,138 W. College Avenue,"State College, PA",16801
I Wear,16 West State Street ,Doylestown,18901
Fox Optical,28 East 3Rd Street,Bethlehem,18015
Optique Unique,406 Main Street,Metuchen,8840
Optical Arts Inc,4351 Hylan Blvd.,"Staten Island, NY",10312
Ocean View Optical,254 Brighton Beach Avenue,Brooklyn,11235
Mega Vision Of Brooklyn,187 Avenue U,New York City,11223
Ocean Eyes, 2907 Ocean Avenue,New York,11235
Bright Eyes,Kings Highway 508,"Brooklyn - New York, NY",11223
KINGS HIGHWAY VISION EXPRESS,KINGS HIGHWAY 1302,"BROOKLYN, NY",11229
Kings Highway Vision Center,1302 Kings Hwy,"Brooklyn, NY",11229
Optique Elegance,1552	Coney Island Avenue,Brooklyn,11230
Popular Eyewear,Avenue S 3518,"Brooklyn, NY",11234
The Lens Center,1318	55Th Street,Brooklyn,11219
Precious Vision Inc.,4803 13th Avenue,"Brooklyn, NY",11219
MYKITA Shop New York Soho,458 Broome Street,New York,10013
MYKITA Shop New York UES,962 Madison Avenue,New York,10021
Insight Optiks,482 Central Avenue,"Cedarhurst, NY",11516
Eye Shoppe on 7th,133 7th Avenue,New York,11215
James Leonard,309 Smith Street,New York,11231
My Unique Optique,324 Atlantic Avenue,"Brooklyn, NY",11201
Heights Vision Inc.,"130 Clinton Street, Ste A","Brooklyn, NY",11201
Eye Drop ,84 Front Street,New York City,11201
Envision Optics,505 Flushing Avenue,Brooklyn,
DesignerEyes @Westfield WTC,185 Greenwich Street,New York City ,10007
Eye Solutions,33 Mott Street,New York,10013
Patron of the New,151 Franklin St,New York,NY 10013
Tribeca 2020 Vision,402 Broadway,New York City,10013
H Optics Optometry P.C.,76 Orchard St.,New York City,10002
Atelier Mira,224 Grand Street,"Brooklyn, NY",11211
Opening Ceremony New York,35 Howard St,New York,10013
The Webster NYC,29 Greene Street,New York,NY 10013
Totokaelo,61 Crosby St,New York,NY 10012
ODD,164 Ludlow St,New York,NY 10002
Anne et Valentin,2 Prince Street,New York,10012
Luxeye Optical,171 Bedford Avenue,New York,11211
Morgenthal Frederics,399 West Broadway,New York,10012
Robert Marc,436 West Broadway,New York City,NY10012
Sunny Eye Shop,284 Driggs Ave.,Brooklyn,11222
EYES ON SECOND,SECOND AVENUE 170,"NEW YORK, NY",10003
Robert Marc,386 Bleecker Street,New York City, NY10014
Myoptics Hoboken,322 Washington Street,"Hoboken, NJ",07030
Union Square Optical INC.,9 West 14th Street,"New York, NY",10011
Barton Perreira,649 Hudson Street,New York,10014
VISIONARY OPTICS,123A 7th Avenue ,New York,10011
Eyes On Park,"287 Park Avenue South, #1A","New York, NY",10010
